,adult,budget,genres,id,imdb_id,original_title,overview,poster_path,revenue,title,vote_average,vote_count,imdbURL,tmdbURL,ImageURL
10,FALSE,62000000,"Comedy, Drama, Romance",9087,tt0112346,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",/lymPNGLZgPHuqM29rKMGV46ANij.jpg,107879496,The American President,6.5,199,https://www.imdb.com/title/tt0112346/,https://www.themoviedb.org/movie/9087,https://image.tmdb.org/t/p/original/lymPNGLZgPHuqM29rKMGV46ANij.jpg
11,FALSE,0,"Comedy, Horror",12110,tt0112896,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,0,Dracula: Dead and Loving It,5.7,210,https://www.imdb.com/title/tt0112896/,https://www.themoviedb.org/movie/12110,https://image.tmdb.org/t/p/original/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg
12,FALSE,0,"Family, Animation, Adventure",21032,tt0112453,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,11348324,Balto,7.1,423,https://www.imdb.com/title/tt0112453/,https://www.themoviedb.org/movie/21032,https://image.tmdb.org/t/p/original/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
13,FALSE,44000000,"History, Drama",10858,tt0113987,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,13681765,Nixon,7.1,72,https://www.imdb.com/title/tt0113987/,https://www.themoviedb.org/movie/10858,https://image.tmdb.org/t/p/original/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg
14,FALSE,98000000,"Action, Adventure",1408,tt0112760,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,10017322,Cutthroat Island,5.7,137,https://www.imdb.com/title/tt0112760/,https://www.themoviedb.org/movie/1408,https://image.tmdb.org/t/p/original/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg
15,FALSE,52000000,"Drama, Crime",524,tt0112641,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,116112375,Casino,7.8,1343,https://www.imdb.com/title/tt0112641/,https://www.themoviedb.org/movie/524,https://image.tmdb.org/t/p/original/xo517ibXBDdYQY81j0WIG7BVcWq.jpg
16,FALSE,16500000,"Drama, Romance",4584,tt0114388,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,135000000,Sense and Sensibility,7.2,364,https://www.imdb.com/title/tt0114388/,https://www.themoviedb.org/movie/4584,https://image.tmdb.org/t/p/original/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg
17,FALSE,4000000,"Crime, Comedy",5,tt0113101,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,4300000,Four Rooms,6.5,539,https://www.imdb.com/title/tt0113101/,https://www.themoviedb.org/movie/5,https://image.tmdb.org/t/p/original/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg
18,FALSE,30000000,"Crime, Comedy, Adventure",9273,tt0112281,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,212385533,Ace Ventura: When Nature Calls,6.1,1128,https://www.imdb.com/title/tt0112281/,https://www.themoviedb.org/movie/9273,https://image.tmdb.org/t/p/original/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg
19,FALSE,60000000,"Action, Comedy, Crime",11517,tt0113845,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,35431113,Money Train,5.4,224,https://www.imdb.com/title/tt0113845/,https://www.themoviedb.org/movie/11517,https://image.tmdb.org/t/p/original/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg
20,FALSE,30250000,"Comedy, Thriller, Crime",8012,tt0113161,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,115101622,Get Shorty,6.4,305,https://www.imdb.com/title/tt0113161/,https://www.themoviedb.org/movie/8012,https://image.tmdb.org/t/p/original/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg
21,FALSE,0,"Drama, Thriller",1710,tt0112722,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,0,Copycat,6.5,199,https://www.imdb.com/title/tt0112722/,https://www.themoviedb.org/movie/1710,https://image.tmdb.org/t/p/original/80czeJGSoik22fhtUM9WzyjUU4r.jpg
22,FALSE,50000000,"Action, Adventure, Crime, Thriller",9691,tt0112401,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,30303072,Assassins,6,394,https://www.imdb.com/title/tt0112401/,https://www.themoviedb.org/movie/9691,https://image.tmdb.org/t/p/original/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg
23,FALSE,0,"Drama, Fantasy, Science Fiction, Thriller",12665,tt0114168,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,0,Powder,6.3,143,https://www.imdb.com/title/tt0114168/,https://www.themoviedb.org/movie/12665,https://image.tmdb.org/t/p/original/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg
24,FALSE,3600000,"Drama, Romance",451,tt0113627,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,49800000,Leaving Las Vegas,7.1,365,https://www.imdb.com/title/tt0113627/,https://www.themoviedb.org/movie/451,https://image.tmdb.org/t/p/original/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg
25,FALSE,0,Drama,16420,tt0114057,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,0,Othello,7,33,https://www.imdb.com/title/tt0114057/,https://www.themoviedb.org/movie/16420,https://image.tmdb.org/t/p/original/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg
26,FALSE,12000000,"Comedy, Drama, Family",9263,tt0114011,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,27400000,Now and Then,6.6,91,https://www.imdb.com/title/tt0114011/,https://www.themoviedb.org/movie/9263,https://image.tmdb.org/t/p/original/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg
27,FALSE,0,"Drama, Romance",17015,tt0114117,Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",/si8911IezMvAnQFDvyg1nKzDlD.jpg,0,Persuasion,7.4,36,https://www.imdb.com/title/tt0114117/,https://www.themoviedb.org/movie/17015,https://image.tmdb.org/t/p/original/si8911IezMvAnQFDvyg1nKzDlD.jpg
28,FALSE,18000000,"Fantasy, Science Fiction, Adventure",902,tt0112682,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,1738611,The City of Lost Children,7.6,308,https://www.imdb.com/title/tt0112682/,https://www.themoviedb.org/movie/902,https://image.tmdb.org/t/p/original/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg
29,FALSE,0,"Drama, Crime",37557,tt0115012,摇啊摇，摇到外婆桥,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,0,Shanghai Triad,6.5,17,https://www.imdb.com/title/tt0115012/,https://www.themoviedb.org/movie/37557,https://image.tmdb.org/t/p/original/qcoOCoN7viOhboGwhYXyApdDuiq.jpg
30,FALSE,0,"Drama, Crime",9909,tt0112792,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,180000000,Dangerous Minds,6.4,249,https://www.imdb.com/title/tt0112792/,https://www.themoviedb.org/movie/9909,https://image.tmdb.org/t/p/original/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg
31,FALSE,29500000,"Science Fiction, Thriller, Mystery",63,tt0114746,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,168840000,Twelve Monkeys,7.4,2470,https://www.imdb.com/title/tt0114746/,https://www.themoviedb.org/movie/63,https://image.tmdb.org/t/p/original/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg
32,FALSE,0,"Romance, Adventure",78802,tt0114952,"Guillaumet, les ailes du courage",,/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg,0,Wings of Courage,6.8,4,https://www.imdb.com/title/tt0114952/,https://www.themoviedb.org/movie/78802,https://image.tmdb.org/t/p/original/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg
33,FALSE,30000000,"Fantasy, Drama, Comedy, Family",9598,tt0112431,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,254134910,Babe,6,756,https://www.imdb.com/title/tt0112431/,https://www.themoviedb.org/movie/9598,https://image.tmdb.org/t/p/original/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg
34,FALSE,0,"History, Drama, Romance",47018,tt0112637,Carrington,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,0,Carrington,6.4,16,https://www.imdb.com/title/tt0112637/,https://www.themoviedb.org/movie/47018,https://image.tmdb.org/t/p/original/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg
35,FALSE,11000000,Drama,687,tt0112818,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,39363635,Dead Man Walking,7.3,350,https://www.imdb.com/title/tt0112818/,https://www.themoviedb.org/movie/687,https://image.tmdb.org/t/p/original/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg
36,FALSE,0,"Adventure, History, Drama, Family",139405,tt0112286,Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",/lKOAyy098yjoot8cutYsStVO1WS.jpg,0,Across the Sea of Time,3.5,2,https://www.imdb.com/title/tt0112286/,https://www.themoviedb.org/movie/139405,https://image.tmdb.org/t/p/original/lKOAyy098yjoot8cutYsStVO1WS.jpg
37,FALSE,0,"Comedy, Family, Romance",33689,tt0113442,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,0,It Takes Two,6.1,149,https://www.imdb.com/title/tt0113442/,https://www.themoviedb.org/movie/33689,https://image.tmdb.org/t/p/original/l67WJL3Mjce1yoEgL4HheR5v75D.jpg
38,FALSE,12000000,"Comedy, Drama, Romance",9603,tt0112697,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,0,Clueless,6.9,828,https://www.imdb.com/title/tt0112697/,https://www.themoviedb.org/movie/9603,https://image.tmdb.org/t/p/original/i8gEHh2sszB6YWLC0jl559sxAeN.jpg
39,FALSE,0,Drama,34615,tt0112749,"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,676525,"Cry, the Beloved Country",6.7,13,https://www.imdb.com/title/tt0112749/,https://www.themoviedb.org/movie/34615,https://image.tmdb.org/t/p/original/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg
40,FALSE,0,"Drama, War",31174,tt0114279,Richard III,Shakespeare's Play transplanted into a 1930s setting.,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,0,Richard III,6.9,50,https://www.imdb.com/title/tt0114279/,https://www.themoviedb.org/movie/31174,https://image.tmdb.org/t/p/original/e8nuS9GQoSFaqld4hW5erk2ccag.jpg
41,FALSE,10000000,"Action, Crime, Drama, History",11443,tt0112819,Dead Presidents,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,0,Dead Presidents,6.6,80,https://www.imdb.com/title/tt0112819/,https://www.themoviedb.org/movie/11443,https://image.tmdb.org/t/p/original/2dLyvXVvJXUR9otoqERkYpao1bB.jpg
42,FALSE,19000000,"Drama, Romance",35196,tt0114272,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,0,Restoration,6.3,30,https://www.imdb.com/title/tt0114272/,https://www.themoviedb.org/movie/35196,https://image.tmdb.org/t/p/original/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg
43,FALSE,18000000,"Action, Fantasy",9312,tt0113855,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,122195920,Mortal Kombat,5.4,452,https://www.imdb.com/title/tt0113855/,https://www.themoviedb.org/movie/9312,https://image.tmdb.org/t/p/original/bdXWixjWVA7Y03PvW74xufrROiJ.jpg
44,FALSE,20000000,"Fantasy, Drama, Comedy, Thriller",577,tt0114681,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",/zCREx8trzejNieDLUsRuwLU0cS3.jpg,21284514,To Die For,6.7,177,https://www.imdb.com/title/tt0114681/,https://www.themoviedb.org/movie/577,https://image.tmdb.org/t/p/original/zCREx8trzejNieDLUsRuwLU0cS3.jpg
45,FALSE,10000000,"Drama, Romance",11861,tt0113347,How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,23574130,How To Make An American Quilt,6.5,38,https://www.imdb.com/title/tt0113347/,https://www.themoviedb.org/movie/11861,https://image.tmdb.org/t/p/original/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg
46,FALSE,33000000,"Crime, Mystery, Thriller",807,tt0114369,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,327311859,Se7en,8.1,5915,https://www.imdb.com/title/tt0114369/,https://www.themoviedb.org/movie/807,https://image.tmdb.org/t/p/original/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg
47,FALSE,55000000,"Adventure, Animation, Drama, Family",10530,tt0114148,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,346079773,Pocahontas,6.7,1509,https://www.imdb.com/title/tt0114148/,https://www.themoviedb.org/movie/10530,https://image.tmdb.org/t/p/original/qk95miOV8wDABbO5gyCpCrvbVFu.jpg
48,FALSE,0,"Drama, Romance",8391,tt0114916,When Night Is Falling,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,0,When Night Is Falling,5.9,10,https://www.imdb.com/title/tt0114916/,https://www.themoviedb.org/movie/8391,https://image.tmdb.org/t/p/original/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg
49,FALSE,6000000,"Drama, Crime, Thriller",629,tt0114814,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,23341568,The Usual Suspects,8.1,3334,https://www.imdb.com/title/tt0114814/,https://www.themoviedb.org/movie/629,https://image.tmdb.org/t/p/original/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg
